# Focus Sweep - 2025_07_24_10_50_17
# focus_um	total_counts
-5.001	6530
-4.901	5720
-4.801	5520
-4.701	5980
-4.601	5750
-4.501	5950
-4.401	5330
-4.301	5710
-4.201	5440
-4.101	5490
-4.001	5790
-3.901	5460
-3.801	5820
-3.701	5190
-3.601	5530
-3.501	5730
-3.401	5200
-3.301	5790
-3.201	5720
-3.101	5280
-3.001	5540
-2.901	5080
-2.801	5830
-2.701	5700
-2.601	5700
-2.501	5780
-2.401	5350
-2.301	5160
-2.201	5390
-2.101	5270
-2.001	4920
-1.901	5080
-1.801	5390
-1.701	5080
-1.601	5050
-1.501	5170
-1.401	5160
-1.301	5290
-1.201	5200
-1.101	5090
-1.001	5850
-0.901	4920
-0.801	5350
-0.701	5590
-0.601	5470
-0.501	5730
-0.401	5980
-0.301	5610
-0.201	5310
-0.101	6110
-0.001	5670
0.099	5670
0.199	5730
0.299	6000
0.399	6150
0.499	6800
0.599	6690
0.699	6220
0.799	6210
0.899	6690
0.999	6120
1.099	6480
1.199	6070
1.299	5860
1.399	5710
1.499	5070
1.599	5560
1.699	5160
1.799	4400
1.899	4700
1.999	4650
2.099	4260
2.199	4170
2.299	4240
2.399	4080
2.499	4040
2.599	3880
2.699	3760
2.799	3330
2.899	3610
2.999	3750
3.099	3780
3.199	3710
3.299	3650
3.399	3220
3.499	3930
3.599	3600
3.699	3010
3.799	3590
3.899	3630
3.999	3140
4.099	3410
4.199	3680
4.299	3850
4.399	3200
4.499	3310
4.599	3150
4.699	3400
4.799	3530
4.899	4050
4.999	3680
