# Focus	Count
-5.003	4310
-4.903	7390
-4.803	6740
-4.703	6720
-4.603	6620
-4.503	6400
-4.403	6750
-4.303	6550
-4.203	6100
-4.103	6750
-4.003	6180
-3.903	6070
-3.803	5830
-3.703	5910
-3.603	5830
-3.503	5590
-3.403	5540
-3.303	5620
-3.203	5380
-3.103	5770
-3.003	5470
-2.903	5500
-2.803	5640
-2.703	5460
-2.603	5430
-2.503	5960
-2.403	5920
-2.303	5870
-2.203	5580
-2.103	5300
-2.003	5490
-1.903	5180
-1.803	5490
-1.703	5210
-1.603	5390
-1.503	5290
-1.403	5450
-1.303	5150
-1.203	5340
-1.103	5180
-1.003	5020
-0.903	5480
-0.803	5320
-0.703	5120
-0.603	5720
-0.503	6120
-0.403	5860
-0.303	5590
-0.203	5390
-0.103	5660
-0.003	5370
0.097	6160
0.197	5960
0.297	5990
0.397	5800
0.497	6390
0.597	6140
0.697	6000
0.797	6360
0.897	6710
0.997	6200
1.097	6070
1.197	6070
1.297	6020
1.397	5790
1.497	5730
1.597	5370
1.697	5180
1.797	5230
1.897	5420
1.997	4990
2.097	4850
2.197	4730
2.297	3850
2.397	4160
2.497	4150
2.597	4280
2.697	4100
2.797	3770
2.897	3650
2.997	3390
3.097	3200
3.197	3570
3.297	3470
3.397	3550
3.497	3800
3.597	3430
3.697	3300
3.797	3650
3.897	3570
3.997	3330
4.097	3550
4.197	3610
4.297	3180
4.397	3430
4.497	2970
4.597	3530
4.697	3430
4.797	3580
4.897	3350
4.997	3370
5.097	3460
5.197	3310
5.297	3680
5.397	3400
5.497	3440
5.597	3320
5.697	3350
5.797	3770
5.897	3410
5.997	3170
6.097	3580
6.197	3400
6.297	3010
6.397	3130
6.497	3470
6.597	3570
6.697	3100
6.797	3270
6.897	3390
6.997	3410
7.097	3520
7.197	3520
7.297	3530
7.397	3140
7.497	3560
7.597	3220
7.697	3310
7.797	3260
7.897	3410
7.997	3040
8.097	3120
8.197	3440
8.297	3360
8.397	3520
8.497	3460
8.597	3380
8.697	3360
8.797	3030
8.897	3410
8.997	3390
9.097	3290
9.197	3230
9.297	3400
9.397	3550
9.497	3530
9.597	3220
9.697	3030
9.797	3240
9.897	3160
9.997	3270
10.097	3240
10.197	3370
10.297	3330
10.397	3310
10.497	3640
10.597	3300
10.697	3470
10.797	3220
10.897	3380
10.997	2970
11.097	3320
11.197	3630
11.297	3340
11.397	3690
11.497	3290
11.597	2940
11.697	3360
11.797	3320
11.897	3260
11.997	3680
12.097	3540
12.197	3430
12.297	3240
12.397	3220
12.497	3650
12.597	3300
12.697	2970
12.797	3130
12.897	3270
12.997	3230
13.097	3340
13.197	3160
13.297	3540
13.397	3280
13.497	3340
13.597	3470
13.697	3680
13.797	3330
13.897	3490
13.997	3500
14.097	3450
14.197	3470
14.297	3440
14.397	3410
14.497	3420
14.597	3400
14.697	3110
14.797	3240
14.897	3540
14.997	3380
