# PL Mapping - 2025_07_23_17_22_18
# X Y Count1 Count2 Total
-19.999 -19.998 2380 2340 4720
-19.996 -19.900 2330 2140 4470
-19.999 -19.799 2610 2250 4860
-19.998 -19.697 2320 2490 4810
-20.002 -19.604 2580 2520 5100
-19.999 -19.503 2210 2110 4320
-19.998 -19.400 2570 2560 5130
-20.001 -19.302 2310 2100 4410
-20.000 -19.198 2340 2290 4630
-19.998 -19.095 2200 2130 4330
-19.996 -18.997 2280 2520 4800
-20.003 -18.900 1990 2080 4070
-20.000 -18.798 2590 2220 4810
-19.998 -18.702 2210 2340 4550
-20.001 -18.596 2630 2050 4680
-20.000 -18.500 2200 2370 4570
-20.001 -18.397 1950 2330 4280
-19.995 -18.298 2470 2230 4700
-20.001 -18.197 2330 2250 4580
-20.002 -18.099 1930 2300 4230
-19.999 -18.001 2280 1780 4060
-20.002 -17.903 2430 2230 4660
-20.002 -17.797 2210 1940 4150
-19.997 -17.698 2310 2230 4540
-19.998 -17.593 2370 2160 4530
-20.002 -17.501 2250 2240 4490
-20.000 -17.402 2180 2250 4430
-20.001 -17.294 2160 2030 4190
-20.000 -17.200 2210 2170 4380
-20.003 -17.100 2310 2190 4500
-20.001 -16.995 2100 1830 3930
-19.995 -16.894 2240 2070 4310
-19.997 -16.796 2150 2030 4180
-19.997 -16.701 1890 1850 3740
-19.997 -16.604 1870 1770 3640
-20.007 -16.497 2230 2060 4290
-20.002 -16.395 2450 2210 4660
-20.001 -16.298 1980 2040 4020
-20.003 -16.206 2310 1520 3830
-20.002 -16.102 1960 2220 4180
-20.001 -15.995 2060 1940 4000
-20.000 -15.898 1890 2000 3890
-20.000 -15.801 2230 2050 4280
-20.000 -15.695 1980 1940 3920
-20.002 -15.600 2360 1810 4170
-19.998 -15.498 2280 2010 4290
-20.001 -15.401 2190 1590 3780
-20.003 -15.297 2080 2060 4140
-19.998 -15.197 2340 1660 4000
-20.000 -15.097 2140 2110 4250
-19.999 -15.008 2120 2210 4330
-19.999 -14.896 2180 1920 4100
-19.999 -14.801 1930 2080 4010
-20.000 -14.697 1980 1790 3770
-20.000 -14.605 1970 2090 4060
-20.003 -14.496 2040 2190 4230
-20.001 -14.399 1990 1850 3840
-20.004 -14.291 2050 2340 4390
-19.995 -14.201 1940 2070 4010
-20.000 -14.094 2100 2170 4270
-19.995 -13.998 2020 1850 3870
-20.004 -13.901 2040 2110 4150
