# PL Mapping - 2025_07_23_17_45_29
# x_req	y_req	x_act	y_act	count1	count2	total
-20.000	-20.000	-19.998	-20.000	2310	2290	4600
-20.000	-19.800	-19.997	-19.800	2050	2130	4180
-20.000	-19.600	-19.996	-19.600	2170	2040	4210
-20.000	-19.400	-19.994	-19.400	2630	2110	4740
-20.000	-19.200	-19.999	-19.197	2310	2240	4550
-20.000	-19.000	-20.000	-19.000	2690	2320	5010
-20.000	-18.800	-19.998	-18.802	2820	2630	5450
-20.000	-18.600	-20.000	-18.598	2310	2480	4790
-20.000	-18.400	-20.002	-18.399	2220	1720	3940
-20.000	-18.200	-20.005	-18.196	2110	2420	4530
-20.000	-18.000	-19.999	-18.004	2200	2440	4640
-20.000	-17.800	-20.003	-17.804	2400	2160	4560
-20.000	-17.600	-20.001	-17.600	2400	2050	4450
-20.000	-17.400	-20.000	-17.402	2220	2000	4220
-20.000	-17.200	-20.003	-17.203	2160	2210	4370
-20.000	-17.000	-20.002	-16.995	2170	1970	4140
-20.000	-16.800	-20.002	-16.797	2230	1890	4120
-20.000	-16.600	-20.002	-16.594	2270	2330	4600
-20.000	-16.400	-20.002	-16.396	2240	2240	4480
-20.000	-16.200	-20.002	-16.203	2230	1840	4070
-20.000	-16.000	-20.001	-15.995	2460	2280	4740
-20.000	-15.800	-19.997	-15.800	2000	2230	4230
-20.000	-15.600	-20.000	-15.607	2170	2290	4460
-20.000	-15.400	-20.002	-15.404	2150	2190	4340
-20.000	-15.200	-19.998	-15.203	2360	2290	4650
-20.000	-15.000	-19.999	-15.000	2300	2180	4480
-20.000	-14.800	-20.002	-14.798	2390	2040	4430
-20.000	-14.600	-20.002	-14.597	2190	2240	4430
-20.000	-14.400	-20.002	-14.399	2200	2020	4220
-20.000	-14.200	-19.995	-14.204	2170	2210	4380
-20.000	-14.000	-20.002	-13.996	2290	1950	4240
-20.000	-13.800	-19.999	-13.798	2160	2010	4170
-20.000	-13.600	-20.004	-13.597	2040	2010	4050
-20.000	-13.400	-20.000	-13.405	1970	2250	4220
-20.000	-13.200	-20.000	-13.196	2030	1930	3960
-20.000	-13.000	-19.999	-13.002	2140	2130	4270
-20.000	-12.800	-20.002	-12.797	2450	2150	4600
-20.000	-12.600	-19.999	-12.600	2240	2160	4400
-20.000	-12.400	-19.999	-12.404	2450	2120	4570
-20.000	-12.200	-20.003	-12.199	2190	2010	4200
-20.000	-12.000	-19.998	-12.003	2300	2570	4870
-20.000	-11.800	-20.001	-11.798	2360	2300	4660
-20.000	-11.600	-19.999	-11.605	2460	2390	4850
-20.000	-11.400	-20.000	-11.402	2470	2120	4590
-20.000	-11.200	-20.003	-11.203	2000	1940	3940
-20.000	-11.000	-20.000	-11.005	2280	2250	4530
-20.000	-10.800	-20.005	-10.799	1970	2330	4300
-20.000	-10.600	-20.003	-10.600	2350	2380	4730
-20.000	-10.400	-20.000	-10.408	1990	2330	4320
-20.000	-10.200	-20.003	-10.200	2220	2180	4400
-20.000	-10.000	-20.002	-10.003	2530	2490	5020
-20.000	-9.800	-20.001	-9.798	2590	2550	5140
-20.000	-9.600	-20.001	-9.598	2360	2230	4590
-20.000	-9.400	-20.002	-9.399	2430	2020	4450
-20.000	-9.200	-19.999	-9.201	2410	2360	4770
-20.000	-9.000	-20.001	-9.004	2530	2230	4760
-20.000	-8.800	-20.002	-8.799	2630	2390	5020
-20.000	-8.600	-20.002	-8.591	2600	2500	5100
-20.000	-8.400	-20.001	-8.398	2660	2900	5560
-20.000	-8.200	-20.001	-8.193	2570	2540	5110
-20.000	-8.000	-19.998	-7.997	2780	2820	5600
-20.000	-7.800	-19.998	-7.796	3140	2540	5680
-20.000	-7.600	-19.998	-7.602	2540	2830	5370
-20.000	-7.400	-20.003	-7.400	3110	3010	6120
-20.000	-7.200	-19.998	-7.201	2670	2860	5530
-20.000	-7.000	-19.999	-6.999	3460	2870	6330
-20.000	-6.800	-19.997	-6.800	3510	3000	6510
-20.000	-6.600	-20.001	-6.600	3620	3310	6930
-20.000	-6.400	-20.003	-6.402	3460	3490	6950
-20.000	-6.200	-20.000	-6.194	3620	3220	6840
-20.000	-6.000	-20.000	-5.999	3160	3300	6460
-20.000	-5.800	-20.005	-5.790	3070	2940	6010
-20.000	-5.600	-20.001	-5.600	2780	2750	5530
-20.000	-5.400	-20.003	-5.397	3080	3040	6120
-20.000	-5.200	-20.000	-5.210	2830	2660	5490
-20.000	-5.000	-19.998	-4.997	2650	2810	5460
-20.000	-4.800	-20.002	-4.799	2630	2890	5520
-20.000	-4.600	-19.998	-4.600	2380	2560	4940
-20.000	-4.400	-20.001	-4.401	2660	2680	5340
-20.000	-4.200	-19.998	-4.202	3040	2590	5630
-20.000	-4.000	-20.001	-3.998	2900	2470	5370
-20.000	-3.800	-19.998	-3.799	2550	2340	4890
-20.000	-3.600	-19.997	-3.604	2800	2690	5490
-20.000	-3.400	-20.000	-3.397	2560	2410	4970
-20.000	-3.200	-20.002	-3.206	2700	2240	4940
